task_id,data_id,stratum,sentence_type,n_spans,spans_json,text
107,8a8c0453d76648799c45a67d9a5603c4-0,presuicidal_multilabel_conj,Смешанного типа,4,"[{""start"": 0, ""end"": 48, ""text"": ""И опять я дала тебе обещание не совершать суицид""}, {""start"": 49, ""end"": 76, ""text"": ""Но не резать себя я не могу""}, {""start"": 78, ""end"": 105, ""text"": ""потому что либо то либо это""}, {""start"": 106, ""end"": 112, ""text"": ""Прости""}]","И опять я дала тебе обещание не совершать суицид Но не резать себя я не могу, потому что либо то либо это Прости"
108,81a0802aabcf4632bfaa9b6e681da648-17,presuicidal_multilabel_conj,ССП,2,"[{""start"": 0, ""end"": 23, ""text"": ""я хочу совершить суицид""}, {""start"": 25, ""end"": 40, ""text"": ""но мне страшно.""}]","я хочу совершить суицид, но мне страшно."
109,43ab0b76e7e04747bb4a7482218d3f0b-13,presuicidal_multilabel_conj,СПП,2,"[{""start"": 0, ""end"": 106, ""text"": ""В последнее время от безисходности и боли я начала прикладываться к алкоголю, причем в больших количествах""}, {""start"": 108, ""end"": 127, ""text"": ""когда ребенок спит.""}]","В последнее время от безисходности и боли я начала прикладываться к алкоголю, причем в больших количествах, когда ребенок спит."
110,84185b76ddb04ca583e5d1bf53d82c75-5,presuicidal_multilabel_conj,СПП,2,"[{""start"": 0, ""end"": 36, ""text"": ""Я не вижу смысла в жизни и признаюсь""}, {""start"": 38, ""end"": 53, ""text"": ""я хочу умереть.""}]","Я не вижу смысла в жизни и признаюсь, я хочу умереть."
111,fa45455a23e243f5bf3e6a7d7c16cfaf-14,presuicidal_multilabel_conj,БСП,2,"[{""start"": 0, ""end"": 11, ""text"": ""Я убью себя""}, {""start"": 12, ""end"": 36, ""text"": ""не могу терпеть этот ад.""}]",Я убью себя не могу терпеть этот ад.
112,53782252ae994c5b871244072b627234-12,presuicidal_multilabel_conj,Смешанного типа,6,"[{""start"": 0, ""end"": 27, ""text"": ""И это создало мне трудности""}, {""start"": 29, ""end"": 65, ""text"": ""меня мало того не считали интересным""}, {""start"": 68, ""end"": 114, ""text"": ""так и ещё меня не воспринимали всерьёз никогда""}, {""start"": 115, ""end"": 125, ""text"": ""и у многих""}, {""start"": 126, ""end"": 148, ""text"": ""у кого чесались кулаки""}, {""start"": 149, ""end"": 176, ""text"": ""применяли против меня силу.""}]",И это создало мне трудности: меня мало того не считали интересным - так и ещё меня не воспринимали всерьёз никогда и у многих у кого чесались кулаки применяли против меня силу.
113,c5515ef5688742dd92bcd49662057962-16,presuicidal_multilabel_conj,Не сложное,1,"[{""start"": 0, ""end"": 52, ""text"": ""и уехать я не могу, вот так бросить маму в больнице.""}]","и уехать я не могу, вот так бросить маму в больнице."
114,bfa3a7df2ae64614ab9c3f13849c79a1-40,presuicidal_multilabel_conj,ССП,2,"[{""start"": 0, ""end"": 19, ""text"": ""Ну должна я умереть""}, {""start"": 21, ""end"": 35, ""text"": ""а так страшно.""}]","Ну должна я умереть, а так страшно."
115,4410c610752b44798f3515fa7f7901cc-2,presuicidal_multilabel_conj,Смешанного типа,6,"[{""start"": 0, ""end"": 58, ""text"": ""А причиной затяжной депрессии стало чувство глубокой любви""}, {""start"": 60, ""end"": 67, ""text"": ""которое""}, {""start"": 68, ""end"": 79, ""text"": ""как я думал""}, {""start"": 80, ""end"": 142, ""text"": ""должно спасать людей и давать смысл существования, давать силы""}, {""start"": 144, ""end"": 203, ""text"": ""а вместо этого оно просто уничтожило меня полностью изнутри""}, {""start"": 204, ""end"": 224, ""text"": ""и просвета не видно.""}]","А причиной затяжной депрессии стало чувство глубокой любви, которое как я думал должно спасать людей и давать смысл существования, давать силы, а вместо этого оно просто уничтожило меня полностью изнутри и просвета не видно."
116,87489d6d2b1949b48b1d2a55e75d785a-0,presuicidal_multilabel_conj,Смешанного типа,16,"[{""start"": 0, ""end"": 49, ""text"": ""Здравствуйте, очень часто думаю покончить с собой""}, {""start"": 51, ""end"": 89, ""text"": ""что бы больше не кто меня не вспоминал""}, {""start"": 91, ""end"": 121, ""text"": ""с родителями вообще не общаюсь""}, {""start"": 123, ""end"": 136, ""text"": ""с братом тоже""}, {""start"": 138, ""end"": 166, ""text"": ""так как им все ровно на меня""}, {""start"": 167, ""end"": 189, ""text"": ""и что со мной делается""}, {""start"": 191, ""end"": 231, ""text"": ""и так всю жизнь очень сильно надоело это""}, {""start"": 233, ""end"": 258, ""text"": ""с девушками тоже проблемы""}, {""start"": 260, ""end"": 291, ""text"": ""постоянно получаю только отказы""}, {""start"": 293, ""end"": 321, ""text"": ""поэтому уже четыре года один""}, {""start"": 323, ""end"": 355, ""text"": ""вот поэтому и хочу уйти из жизни""}, {""start"": 357, ""end"": 387, ""text"": ""так как не вижу смысла в жизни""}, {""start"": 389, ""end"": 409, ""text"": ""зачем она акая нужна""}, {""start"": 411, ""end"": 428, ""text"": ""лучше уйти из неё""}, {""start"": 430, ""end"": 463, ""text"": ""и даже не кто не вспомнит обо мне""}, {""start"": 465, ""end"": 488, ""text"": ""как будто просто пропал""}]","Здравствуйте, очень часто думаю покончить с собой, что бы больше не кто меня не вспоминал, с родителями вообще не общаюсь, с братом тоже, так как им все ровно на меня и что со мной делается, и так всю жизнь очень сильно надоело это, с девушками тоже проблемы, постоянно получаю только отказы, поэтому уже четыре года один, вот поэтому и хочу уйти из жизни, так как не вижу смысла в жизни, зачем она акая нужна, лучше уйти из неё, и даже не кто не вспомнит обо мне, как будто просто пропал"
117,8aebb8e3eea5490f8d952b99b4b73732-2,presuicidal_multilabel_conj,Смешанного типа,3,"[{""start"": 0, ""end"": 20, ""text"": ""Не работаю, не учусь""}, {""start"": 21, ""end"": 35, ""text"": ""и нету желания""}, {""start"": 37, ""end"": 93, ""text"": ""хотя пытаюсь заставить себя устроиться хотя бы курьером.""}]","Не работаю, не учусь и нету желания, хотя пытаюсь заставить себя устроиться хотя бы курьером."
118,5b89a7b3c9b14ee6a8ad9200ceb0991d-15,presuicidal_multilabel_conj,Смешанного типа,5,"[{""start"": 0, ""end"": 28, ""text"": ""нахожусь в сильной депрессии""}, {""start"": 30, ""end"": 62, ""text"": ""все чаще посещают мысли о смерти""}, {""start"": 64, ""end"": 105, ""text"": ""но я не хочу доставлять боль своим родным""}, {""start"": 107, ""end"": 128, ""text"": ""как бы мы не ругались""}, {""start"": 130, ""end"": 156, ""text"": ""они не заслуживают такого.""}]","нахожусь в сильной депрессии, все чаще посещают мысли о смерти, но я не хочу доставлять боль своим родным, как бы мы не ругались, они не заслуживают такого."
119,143897e842c7459587a90f88aa5eb9a2-8,presuicidal_multilabel_conj,Смешанного типа,6,"[{""start"": 0, ""end"": 20, ""text"": ""Я зол на своего отца""}, {""start"": 21, ""end"": 83, ""text"": ""который мне не дал сильного воспитания, в плане мужественности""}, {""start"": 85, ""end"": 140, ""text"": ""потому что сильно много пил и приходил домой как фантик""}, {""start"": 142, ""end"": 179, ""text"": ""поэтому я ненавижу алкоголь и не курю""}, {""start"": 181, ""end"": 218, ""text"": ""алкоголь много делает зла в этом мире""}, {""start"": 220, ""end"": 256, ""text"": ""а сколько семей распалось изо этого.""}]","Я зол на своего отца который мне не дал сильного воспитания, в плане мужественности, потому что сильно много пил и приходил домой как фантик, поэтому я ненавижу алкоголь и не курю, алкоголь много делает зла в этом мире, а сколько семей распалось изо этого."
120,2a35090c31b647e49c0ebd3c59d3ce44-8,presuicidal_multilabel_conj,Смешанного типа,13,"[{""start"": 0, ""end"": 15, ""text"": ""Учился не плохо""}, {""start"": 16, ""end"": 45, ""text"": ""но прогулял весь этот семестр""}, {""start"": 47, ""end"": 73, ""text"": ""и не сдал 5 экзаменов из 6""}, {""start"": 75, ""end"": 87, ""text"": ""теперь долги""}, {""start"": 89, ""end"": 94, ""text"": ""думаю""}, {""start"": 95, ""end"": 113, ""text"": ""что меня вычислять""}, {""start"": 115, ""end"": 124, ""text"": ""я паникую""}, {""start"": 126, ""end"": 143, ""text"": ""по подаю в стресс""}, {""start"": 145, ""end"": 174, ""text"": ""если что то не по плану пошел""}, {""start"": 176, ""end"": 183, ""text"": ""и боюсь""}, {""start"": 185, ""end"": 241, ""text"": ""что однажды мои родители будут смотреть на меня и понять""}, {""start"": 242, ""end"": 259, ""text"": ""что я подводил им""}, {""start"": 261, ""end"": 303, ""text"": ""будут смотреть на меня без веры и надежды.""}]","Учился не плохо но прогулял весь этот семестр, и не сдал 5 экзаменов из 6, теперь долги, думаю что меня вычислять, я паникую, по подаю в стресс, если что то не по плану пошел, и боюсь, что однажды мои родители будут смотреть на меня и понять что я подводил им, будут смотреть на меня без веры и надежды."
121,26bd1e829fad43a48fb0ec544c992b10-5,presuicidal_multilabel_conj,Смешанного типа,5,"[{""start"": 0, ""end"": 15, ""text"": ""В последний раз""}, {""start"": 16, ""end"": 39, ""text"": ""а это было не так давно""}, {""start"": 40, ""end"": 66, ""text"": ""я хотела покончить с собой""}, {""start"": 67, ""end"": 98, ""text"": ""но почему то у меня переклинила""}, {""start"": 99, ""end"": 122, ""text"": ""и я собралась с силами.""}]",В последний раз а это было не так давно я хотела покончить с собой но почему то у меня переклинила и я собралась с силами.
122,44347ecfe853499daba8b4d5385a1b36-23,presuicidal_multilabel_conj,СПП,2,"[{""start"": 0, ""end"": 58, ""text"": ""Все девушки гоняют меня из-за якобы внешности и из-за того""}, {""start"": 60, ""end"": 81, ""text"": ""что я бедный студент.""}]","Все девушки гоняют меня из-за якобы внешности и из-за того, что я бедный студент."
123,3adf29bfa684493d89ff0530b7f437ed-12,presuicidal_multilabel_conj,Смешанного типа,4,"[{""start"": 0, ""end"": 34, ""text"": ""Я планирую уже больше двух месяцев""}, {""start"": 36, ""end"": 51, ""text"": ""как это сделать""}, {""start"": 53, ""end"": 67, ""text"": ""но мне страшно""}, {""start"": 69, ""end"": 92, ""text"": ""что будет после смерти.""}]","Я планирую уже больше двух месяцев, как это сделать, но мне страшно, что будет после смерти."
124,7163a9eb0bc44e098927bc82d431f60f-0,presuicidal_multilabel_conj,Смешанного типа,7,"[{""start"": 0, ""end"": 15, ""text"": ""Хочется умереть""}, {""start"": 17, ""end"": 53, ""text"": ""мысли о суициде приходят очень часто""}, {""start"": 55, ""end"": 100, ""text"": ""я всех достал, всех раздражаю, всем всё порчу""}, {""start"": 102, ""end"": 143, ""text"": ""у меня нет цели дальше жить и смысла тоже""}, {""start"": 145, ""end"": 154, ""text"": ""я не знаю""}, {""start"": 155, ""end"": 168, ""text"": ""зачем родился""}, {""start"": 169, ""end"": 202, ""text"": ""чувствую себя лишним в этом мире.""}]","Хочется умереть, мысли о суициде приходят очень часто, я всех достал, всех раздражаю, всем всё порчу, у меня нет цели дальше жить и смысла тоже, я не знаю зачем родился чувствую себя лишним в этом мире."
125,a91d7b2f8bc64d63bc25003680e8cc44-0,presuicidal_multilabel_conj,Смешанного типа,4,"[{""start"": 0, ""end"": 22, ""text"": ""Скоро будет тред о том""}, {""start"": 24, ""end"": 97, ""text"": ""как я себя чувствую спустя две недели антидепрессантов и транквилизаторов""}, {""start"": 98, ""end"": 178, ""text"": ""( так как спустя две недели употребления АД начинают проявляться первые эффекты)""}, {""start"": 179, ""end"": 218, ""text"": ""по транкам могу сказать одно - охуенно.""}]","Скоро будет тред о том, как я себя чувствую спустя две недели антидепрессантов и транквилизаторов ( так как спустя две недели употребления АД начинают проявляться первые эффекты) по транкам могу сказать одно - охуенно."
126,7b03b06d4ee44edaa12ef20219e9869f-4,presuicidal_multilabel_conj,БСП,5,"[{""start"": 0, ""end"": 24, ""text"": ""Я хочу покончить с собой""}, {""start"": 26, ""end"": 64, ""text"": ""мне надоели его пьянки и грязная брань""}, {""start"": 65, ""end"": 86, ""text"": ""я вся в синяках и сын""}, {""start"": 87, ""end"": 106, ""text"": ""не хочу больше жить""}, {""start"": 108, ""end"": 140, ""text"": ""хочу <способ суицида - ред. мод.""}]","Я хочу покончить с собой, мне надоели его пьянки и грязная брань я вся в синяках и сын не хочу больше жить, хочу <способ суицида - ред. мод."
127,464ed961bd4d490183d6d506e1398ead-25,presuicidal_multilabel_conj,Смешанного типа,4,"[{""start"": 0, ""end"": 12, ""text"": ""Но я не могу""}, {""start"": 13, ""end"": 20, ""text"": ""Я боюсь""}, {""start"": 21, ""end"": 44, ""text"": ""и я хочу просто умереть""}, {""start"": 46, ""end"": 69, ""text"": ""но суицид-это не выход.""}]","Но я не могу Я боюсь и я хочу просто умереть, но суицид-это не выход."
128,f0cc7ee74c724e31b05d4d43369c87dd-1,presuicidal_multilabel_conj,Смешанного типа,11,"[{""start"": 0, ""end"": 6, ""text"": ""я хочу""}, {""start"": 7, ""end"": 47, ""text"": ""чтоб он мне приснился и поговрил со мной""}, {""start"": 47, ""end"": 64, ""text"": ""( как это сдлеать""}, {""start"": 65, ""end"": 89, ""text"": ""я хочу покончить с собой""}, {""start"": 90, ""end"": 101, ""text"": ""я увижу его""}, {""start"": 102, ""end"": 120, ""text"": ""и все будет хорошо""}, {""start"": 121, ""end"": 169, ""text"": ""но родители и все родственникам ведь будет плохо""}, {""start"": 169, ""end"": 182, ""text"": ""( вот не знаю""}, {""start"": 183, ""end"": 193, ""text"": ""что делать""}, {""start"": 194, ""end"": 220, ""text"": ""а забвыть про него не могу""}, {""start"": 221, ""end"": 230, ""text"": ""он сразу.""}]",я хочу чтоб он мне приснился и поговрил со мной( как это сдлеать я хочу покончить с собой я увижу его и все будет хорошо но родители и все родственникам ведь будет плохо( вот не знаю что делать а забвыть про него не могу он сразу.
129,2891b11f0a864205b7a2c7d9db44aaf6-3,presuicidal_multilabel_conj,Не сложное,1,"[{""start"": 0, ""end"": 90, ""text"": ""Мы с ней прошли болезнь мужа, развод, а потом его смерть, тотальное одиночество, а теперь.""}]","Мы с ней прошли болезнь мужа, развод, а потом его смерть, тотальное одиночество, а теперь."
130,208be0beca9c48d9814bbe9a5a4628f7-15,presuicidal_multilabel_conj,СПП,2,"[{""start"": 0, ""end"": 41, ""text"": ""Возможно именно эти трипы дали мне понять""}, {""start"": 43, ""end"": 61, ""text"": ""что жизнь чудесна.""}]","Возможно именно эти трипы дали мне понять, что жизнь чудесна."
131,7abc7765b125446ba37f66886ed28017-2,presuicidal_multilabel_conj,Смешанного типа,5,"[{""start"": 0, ""end"": 28, ""text"": ""Я много раз думала о суициде""}, {""start"": 30, ""end"": 80, ""text"": ""каждый раз я пытаюсь заглушить чем-то боль и обиды""}, {""start"": 82, ""end"": 91, ""text"": ""но это то""}, {""start"": 93, ""end"": 127, ""text"": ""что накопилось за все 17 лет жизни""}, {""start"": 128, ""end"": 150, ""text"": ""и это нельзя спрятать.""}]","Я много раз думала о суициде, каждый раз я пытаюсь заглушить чем-то боль и обиды, но это то, что накопилось за все 17 лет жизни и это нельзя спрятать."
132,123e924f9cf34d4ab3a0201276849ae0-3,presuicidal_multilabel_conj,Смешанного типа,7,"[{""start"": 0, ""end"": 20, ""text"": ""Частые ссоры с мамой""}, {""start"": 22, ""end"": 35, ""text"": ""и она говорит""}, {""start"": 36, ""end"": 64, ""text"": ""что отправит меня в дет. дом""}, {""start"": 66, ""end"": 74, ""text"": ""а бывает""}, {""start"": 75, ""end"": 114, ""text"": ""что говорит \""лучше бы я тебя не рожала\""""}, {""start"": 116, ""end"": 151, ""text"": ""не раз думала о смерти, резала вены""}, {""start"": 153, ""end"": 171, ""text"": ""но мама не видела.""}]","Частые ссоры с мамой, и она говорит что отправит меня в дет. дом, а бывает что говорит ""лучше бы я тебя не рожала"", не раз думала о смерти, резала вены, но мама не видела."
133,ffc819c65a0144c28b7878c20433c25e-2,presuicidal_multilabel_conj,Смешанного типа,7,"[{""start"": 0, ""end"": 87, ""text"": ""у меня высшее образование, хорошая работа, замечательная семья, своя квартира, зарплата""}, {""start"": 89, ""end"": 112, ""text"": ""которая меня устраивает""}, {""start"": 114, ""end"": 133, ""text"": ""но ничего не радует""}, {""start"": 135, ""end"": 160, ""text"": ""постоянный депресс, слезы""}, {""start"": 162, ""end"": 189, ""text"": ""уже бешу людей своим нытьем""}, {""start"": 191, ""end"": 204, ""text"": ""что все плохо""}, {""start"": 206, ""end"": 225, ""text"": ""но это необъяснимо.""}]","у меня высшее образование, хорошая работа, замечательная семья, своя квартира, зарплата, которая меня устраивает, но ничего не радует, постоянный депресс, слезы, уже бешу людей своим нытьем, что все плохо, но это необъяснимо."
134,719b89fb0695466e9485b12bc493eef9-14,presuicidal_multilabel_conj,Смешанного типа,5,"[{""start"": 0, ""end"": 7, ""text"": ""Не знаю""}, {""start"": 9, ""end"": 29, ""text"": ""как найти подработку""}, {""start"": 32, ""end"": 53, ""text"": ""я интроверт, социофоб""}, {""start"": 55, ""end"": 119, ""text"": ""последний раз подрабатывала школьницей летом на школьных клумбах""}, {""start"": 121, ""end"": 169, ""text"": ""где меня все знали и сами предложили устроиться.""}]","Не знаю, как найти подработку - я интроверт, социофоб, последний раз подрабатывала школьницей летом на школьных клумбах, где меня все знали и сами предложили устроиться."
135,ad3fc730195d425dbc882eea7a83faed-4,presuicidal_multilabel_conj,ССП,2,"[{""start"": 0, ""end"": 31, ""text"": ""Я очень хочу учиться и работать""}, {""start"": 33, ""end"": 75, ""text"": ""но моя болезнь сковывает меня в 4х стенах.""}]","Я очень хочу учиться и работать, но моя болезнь сковывает меня в 4х стенах."
136,c66d5285f8124beabadae56c70fd099d-1,presuicidal_multilabel_conj,ССП,2,"[{""start"": 0, ""end"": 24, ""text"": ""Я просто устала от жизни""}, {""start"": 26, ""end"": 41, ""text"": ""и не хочу жить.""}]","Я просто устала от жизни, и не хочу жить."
137,5082e49cc92840afb558e3f36d3778ba-52,presuicidal_multilabel_conj,Смешанного типа,3,"[{""start"": 0, ""end"": 37, ""text"": ""Только в результате мне это наскучило""}, {""start"": 38, ""end"": 127, ""text"": ""(буквально за пару месяцев, как я стал ведущим разработчиком в свои-то подростковые года)""}, {""start"": 128, ""end"": 149, ""text"": ""и решил красиво уйти.""}]","Только в результате мне это наскучило (буквально за пару месяцев, как я стал ведущим разработчиком в свои-то подростковые года) и решил красиво уйти."
138,61c6b14b753e4fdcbfb1aa6dabc19daa-3,presuicidal_multilabel_conj,Смешанного типа,4,"[{""start"": 0, ""end"": 26, ""text"": ""Когда и эти деньги иссякли""}, {""start"": 28, ""end"": 49, ""text"": ""я начал искать работу""}, {""start"": 51, ""end"": 101, ""text"": ""не имея полезных навыков и специальности я не знал""}, {""start"": 102, ""end"": 116, ""text"": ""куда податься.""}]","Когда и эти деньги иссякли, я начал искать работу, не имея полезных навыков и специальности я не знал куда податься."
139,03fd51f90a024c42a56c3eb30e2a6fd8-0,presuicidal_multilabel_conj,Смешанного типа,4,"[{""start"": 0, ""end"": 30, ""text"": ""Возможно, но и суицид не выход""}, {""start"": 31, ""end"": 52, ""text"": ""А выговориться некому""}, {""start"": 53, ""end"": 78, ""text"": ""да и ничем это не поможет""}, {""start"": 79, ""end"": 118, ""text"": ""Плакать тоже не выход, резать себя тоже""}]","Возможно, но и суицид не выход А выговориться некому да и ничем это не поможет Плакать тоже не выход, резать себя тоже"
140,ea29aad070444cc993363e4e7ecb26c6-1,presuicidal_multilabel_conj,Смешанного типа,3,"[{""start"": 0, ""end"": 42, ""text"": ""недавно появился нечто вроде смысла - дело""}, {""start"": 43, ""end"": 65, ""text"": ""которое очень нравится""}, {""start"": 66, ""end"": 96, ""text"": ""и я начала оживать потихоньку.""}]",недавно появился нечто вроде смысла - дело которое очень нравится и я начала оживать потихоньку.
141,708077aa9e314f17921874ccba855658-73,presuicidal_multilabel_conj,ССП,2,"[{""start"": 0, ""end"": 21, ""text"": ""Я просто хочу умереть""}, {""start"": 23, ""end"": 47, ""text"": ""но делать этого не буду.""}]","Я просто хочу умереть, но делать этого не буду."
142,24078e6e46254e3aaba8c3748cc0df76-17,presuicidal_multilabel_conj,Смешанного типа,3,"[{""start"": 0, ""end"": 14, ""text"": ""Я очень устала""}, {""start"": 16, ""end"": 58, ""text"": ""я старалась все исправить говорить с мамой""}, {""start"": 59, ""end"": 77, ""text"": ""но это бесполезно.""}]","Я очень устала, я старалась все исправить говорить с мамой но это бесполезно."
143,5d71622bddf84e6ab4c79663776af8fa-5,presuicidal_multilabel_conj,Смешанного типа,6,"[{""start"": 0, ""end"": 65, ""text"": ""На 8 году нашей любви, у моего мужа появились проблемы с. работой""}, {""start"": 67, ""end"": 97, ""text"": ""которые он никак не мог решить""}, {""start"": 99, ""end"": 149, ""text"": ""с его стороны пошел обман и ложь абсолютно во всем""}, {""start"": 151, ""end"": 176, ""text"": ""затем последовал алкоголь""}, {""start"": 177, ""end"": 208, ""text"": ""мы ругались сильно, каждый день""}, {""start"": 210, ""end"": 297, ""text"": ""я его ненавидела и делала ему одного свалить от меня побыстрее, умереть все что угодно.""}]","На 8 году нашей любви, у моего мужа появились проблемы с. работой, которые он никак не мог решить, с его стороны пошел обман и ложь абсолютно во всем, затем последовал алкоголь-мы ругались сильно, каждый день, я его ненавидела и делала ему одного свалить от меня побыстрее, умереть все что угодно."
144,3dd329e339824841964836ebfe677111-10,presuicidal_multilabel_conj,Смешанного типа,4,"[{""start"": 0, ""end"": 57, ""text"": ""Напившись я ( описание попытки суицида удалено - ред. мод""}, {""start"": 59, ""end"": 80, ""text"": ""но был настолько пьян""}, {""start"": 82, ""end"": 101, ""text"": ""что просто не попал""}, {""start"": 102, ""end"": 113, ""text"": ""куда хотел.""}]","Напившись я ( описание попытки суицида удалено - ред. мод, но был настолько пьян, что просто не попал куда хотел."
145,ed89323ea8f1499094e5aa656fa5e7a6-9,presuicidal_multilabel_conj,ССП,2,"[{""start"": 0, ""end"": 45, ""text"": ""Я бы давно не раздумывая покинула бы этот мир""}, {""start"": 47, ""end"": 72, ""text"": ""но я боюсь оставить маму.""}]","Я бы давно не раздумывая покинула бы этот мир, но я боюсь оставить маму."
146,62106f0eec2243de9ba773f4b673d80b-18,presuicidal_multilabel_conj,БСП,2,"[{""start"": 0, ""end"": 84, ""text"": ""Никому ничего не рассказывая, я обрекаю саму себя на вечные слезы, истерики и паники""}, {""start"": 86, ""end"": 125, ""text"": ""у меня уже начались проблемы с сердцем.""}]","Никому ничего не рассказывая, я обрекаю саму себя на вечные слезы, истерики и паники, у меня уже начались проблемы с сердцем."
147,d7cb606e5814466ea8b25d9fdb0d1a6e-3,presuicidal_multilabel_conj,Смешанного типа,4,"[{""start"": 0, ""end"": 18, ""text"": ""Жили мы в бедности""}, {""start"": 19, ""end"": 55, ""text"": ""отец был алкашем, часто избивал мать""}, {""start"": 57, ""end"": 87, ""text"": ""последний раз до такой степени""}, {""start"": 89, ""end"": 167, ""text"": ""что мать пролежала в реанимации несколько дней, без сознания, там же и умерла.""}]","Жили мы в бедности отец был алкашем, часто избивал мать, последний раз до такой степени, что мать пролежала в реанимации несколько дней, без сознания, там же и умерла."
148,314988883a97403bbf7279f32877e1c1-15,presuicidal_multilabel_conj,СПП,3,"[{""start"": 0, ""end"": 63, ""text"": ""Если мне настоять на моральных обязательствах и вернуться к ней""}, {""start"": 65, ""end"": 72, ""text"": ""я боюсь""}, {""start"": 73, ""end"": 118, ""text"": ""что это закончится психическим расстройством.""}]","Если мне настоять на моральных обязательствах и вернуться к ней, я боюсь что это закончится психическим расстройством."
149,fa4dfac3ecf14a5e81e74be831f8b347-13,presuicidal_multilabel_conj,СПП,3,"[{""start"": 0, ""end"": 42, ""text"": ""Теперь я больше не хочу с кем-либо дружить""}, {""start"": 44, ""end"": 60, ""text"": ""потому-что боюсь""}, {""start"": 61, ""end"": 95, ""text"": ""что меня в очередной раз предадут.""}]","Теперь я больше не хочу с кем-либо дружить, потому-что боюсь что меня в очередной раз предадут."
150,a99ab4142a91433c952f20c609054935-16,presuicidal_multilabel_conj,СПП,3,"[{""start"": 0, ""end"": 12, ""text"": ""Единственное""}, {""start"": 14, ""end"": 36, ""text"": ""что меня останавливает""}, {""start"": 39, ""end"": 89, ""text"": ""это страх остаться живым при попытке самоубийства.""}]","Единственное, что меня останавливает - это страх остаться живым при попытке самоубийства."
151,7ffee36635ab4842aa53764e8e0c5197-29,presuicidal_multilabel_conj,Смешанного типа,6,"[{""start"": 0, ""end"": 14, ""text"": ""Старшему уже 9""}, {""start"": 16, ""end"": 36, ""text"": ""спрашивает постоянно""}, {""start"": 37, ""end"": 51, ""text"": ""почему я плачу""}, {""start"": 53, ""end"": 92, ""text"": ""а я уже и записку предсмертную написала""}, {""start"": 94, ""end"": 107, ""text"": ""чтоб если что""}, {""start"": 108, ""end"": 124, ""text"": ""все готово было.""}]","Старшему уже 9, спрашивает постоянно почему я плачу, а я уже и записку предсмертную написала, чтоб если что все готово было."
152,94816b5972e349e2bb378d597959b74c-5,presuicidal_multilabel_conj,Смешанного типа,5,"[{""start"": 0, ""end"": 28, ""text"": ""Я перед ней извинился за все""}, {""start"": 29, ""end"": 44, ""text"": ""что ей причинил""}, {""start"": 45, ""end"": 64, ""text"": ""( было очень стыдно""}, {""start"": 66, ""end"": 80, ""text"": ""и тут же понял""}, {""start"": 81, ""end"": 111, ""text"": ""что она забыла про меня вовсе.""}]","Я перед ней извинился за все что ей причинил ( было очень стыдно, и тут же понял что она забыла про меня вовсе."
153,7eb9c51f733249ed97b6a5ab68d1272d-33,presuicidal_multilabel_conj,Не сложное,1,"[{""start"": 0, ""end"": 69, ""text"": ""Я просила Бога простить меня за грех самоубийства и перестать карать.""}]",Я просила Бога простить меня за грех самоубийства и перестать карать.
154,06dd0147354148d088dfecb8413cc3d8-0,presuicidal_multilabel_conj,Смешанного типа,20,"[{""start"": 0, ""end"": 4, ""text"": ""Знаю""}, {""start"": 5, ""end"": 32, ""text"": ""что скоро меня уже не будет""}, {""start"": 34, ""end"": 50, ""text"": ""пишу это и плачу""}, {""start"": 52, ""end"": 100, ""text"": ""так хочется жить, быть с мамой, встретить любовь""}, {""start"": 102, ""end"": 118, ""text"": ""да и куча друзей""}, {""start"": 119, ""end"": 145, ""text"": ""мне даже стыдно перед ними""}, {""start"": 147, ""end"": 173, ""text"": ""это и останавливало всегда""}, {""start"": 175, ""end"": 197, ""text"": ""но так уже не возможно""}, {""start"": 198, ""end"": 253, ""text"": ""год или два вошла в эту взрослую жизнь, наделала долгов""}, {""start"": 255, ""end"": 282, ""text"": ""просто постоянная депрессия""}, {""start"": 283, ""end"": 304, ""text"": ""когда остаюсь наедине""}, {""start"": 305, ""end"": 335, ""text"": ""думаю только как умереть зачем""}, {""start"": 336, ""end"": 355, ""text"": ""и все мысли об этом""}, {""start"": 357, ""end"": 417, ""text"": ""с друзьями и со всеми остальными я такая жизнерадостная была""}, {""start"": 419, ""end"": 436, ""text"": ""сейчас уже предел""}, {""start"": 437, ""end"": 457, ""text"": ""не хочу притворяться""}, {""start"": 459, ""end"": 484, ""text"": ""а тут ещё и близится дата""}, {""start"": 485, ""end"": 532, ""text"": ""когда я должна была отдать эти гребанные деньги""}, {""start"": 534, ""end"": 564, ""text"": ""глупо всегда сама это осуждала""}, {""start"": 566, ""end"": 590, ""text"": ""а тут взять и самой так.""}]","Знаю что скоро меня уже не будет, пишу это и плачу, так хочется жить, быть с мамой, встретить любовь, да и куча друзей мне даже стыдно перед ними, это и останавливало всегда, но так уже не возможно год или два вошла в эту взрослую жизнь, наделала долгов, просто постоянная депрессия когда остаюсь наедине думаю только как умереть зачем и все мысли об этом, с друзьями и со всеми остальными я такая жизнерадостная была, сейчас уже предел не хочу притворяться, а тут ещё и близится дата когда я должна была отдать эти гребанные деньги, глупо всегда сама это осуждала, а тут взять и самой так."
