task_idx,text,stratum,category,description,daniil_n_spans,daniil_spans,daniil_type,shirin_n_spans,shirin_spans,shirin_type,igor_n_spans,igor_spans,igor_type
52,"Меня раньше как-то мало заботил мой статус, финансовое состояние и т. п. Сейчас я на самом дне, с которого можно и не подняться.",presuicidal_monolabel_long,punctuation_noise,"Расхождение в границах span'ов исчезает после нормализации (обрезки пунктуации/пробелов) — пунктуационный шум, не реальное несогласие.",3,"[0,71]Меня раньше как-то мало заботил мой статус, финансовое состояние и т. п; [73,94]Сейчас я на самом дне; [96,127]с которого можно и не подняться",Смешанного типа,3,"[0,71]Меня раньше как-то мало заботил мой статус, финансовое состояние и т. п; [73,94]Сейчас я на самом дне; [96,127]с которого можно и не подняться",Смешанного типа,3,"[0,71]Меня раньше как-то мало заботил мой статус, финансовое состояние и т. п; [73,94]Сейчас я на самом дне; [96,127]с которого можно и не подняться",Смешанного типа
53,"Мне 24, возраст для того чтобы радоваться жизни, но у меня всё не так. Когда я был маленьким, я всегда любил гулять, были друзья, про школу не забывал.",presuicidal_monolabel_long,parcellation,"Точка/многоточие в середине высказывания (парцелляция) — один объединил парцеллят с основным предложением, другой разделил.",7,"[0,6]Мне 24; [8,47]возраст для того чтобы радоваться жизни; [49,69]но у меня всё не так; [71,92]Когда я был маленьким; [94,115]я всегда любил гулять; [117,128]были друзья; [130,150]про школу не забывал",Смешанного типа,7,"[0,6]Мне 24; [8,47]возраст для того чтобы радоваться жизни; [49,69]но у меня всё не так; [71,92]Когда я был маленьким; [94,115]я всегда любил гулять; [117,128]были друзья; [130,150]про школу не забывал",Смешанного типа,6,"[0,6]Мне 24; [8,24]возраст для того; [25,47]чтобы радоваться жизни; [49,69]но у меня всё не так; [71,92]Когда я был маленьким; [94,150]я всегда любил гулять, были друзья, про школу не забывал",Смешанного типа
54,"Мне было плохо два месяца, сейчас выхожу уже из депрессии, в принципе, мне любая поддержка сейчас пригодится.",presuicidal_multilabel_bsp,punctuation_noise,"Расхождение в границах span'ов исчезает после нормализации (обрезки пунктуации/пробелов) — пунктуационный шум, не реальное несогласие.",3,"[0,25]Мне было плохо два месяца; [27,57]сейчас выхожу уже из депрессии; [59,108]в принципе, мне любая поддержка сейчас пригодится",БСП,3,"[0,25]Мне было плохо два месяца; [27,57]сейчас выхожу уже из депрессии; [59,108]в принципе, мне любая поддержка сейчас пригодится",БСП,3,"[0,25]Мне было плохо два месяца; [27,57]сейчас выхожу уже из депрессии; [59,108]в принципе, мне любая поддержка сейчас пригодится",БСП
55,"Мне же на эту тему даже не анекдот , а шуточная песня « Сектора Газа » сразу вспоминается : По лестнице с тобой поднялись в час ночной , Ты всунула свой ключ в замок .",solyanka_lj_long,punctuation_noise,"Расхождение в границах span'ов исчезает после нормализации (обрезки пунктуации/пробелов) — пунктуационный шум, не реальное несогласие.",3,"[0,89]Мне же на эту тему даже не анекдот , а шуточная песня « Сектора Газа » сразу вспоминается; [92,134]По лестнице с тобой поднялись в час ночной; [137,165]Ты всунула свой ключ в замок",Смешанного типа,3,"[0,89]Мне же на эту тему даже не анекдот , а шуточная песня « Сектора Газа » сразу вспоминается; [92,134]По лестнице с тобой поднялись в час ночной; [137,165]Ты всунула свой ключ в замок",БСП,3,"[0,89]Мне же на эту тему даже не анекдот , а шуточная песня « Сектора Газа » сразу вспоминается; [92,134]По лестнице с тобой поднялись в час ночной; [137,165]Ты всунула свой ключ в замок",БСП
56,Мне очень нравились эти профессии.,presuicidal_short_simple,punctuation_noise,"Расхождение в границах span'ов исчезает после нормализации (обрезки пунктуации/пробелов) — пунктуационный шум, не реальное несогласие.",1,"[0,33]Мне очень нравились эти профессии",Не сложное,1,"[0,33]Мне очень нравились эти профессии",Не сложное,1,"[0,33]Мне очень нравились эти профессии",Не сложное
57,"Мне плохо от того, что я такая эгоистка, что слабая, думаю только о себе, о том, что никогда не смогу выучиться 4 года, ведь там надо стараться, а я. Так хочется покончить со всем, чтобы больше не было всего этого.",presuicidal_monolabel_long,parcellation,"Точка/многоточие в середине высказывания (парцелляция) — один объединил парцеллят с основным предложением, другой разделил.",9,"[0,17]Мне плохо от того; [19,39]что я такая эгоистка; [41,51]что слабая; [53,79]думаю только о себе, о том; [81,118]что никогда не смогу выучиться 4 года; [120,143]ведь там надо стараться; [145,148]а я; [150,179]Так хочется покончить со всем; [181,213]чтобы больше не было всего этого",Смешанного типа,9,"[0,17]Мне плохо от того; [19,39]что я такая эгоистка; [41,51]что слабая; [53,72]думаю только о себе; [74,118]о том, что никогда не смогу выучиться 4 года; [120,143]ведь там надо стараться; [145,148]а я; [150,179]Так хочется покончить со всем; [181,213]чтобы больше не было всего этого",Смешанного типа,4,"[0,17]Мне плохо от того; [19,148]что я такая эгоистка, что слабая, думаю только о себе, о том, что никогда не смогу выучиться 4 года, ведь там надо стараться, а я; [150,179]Так хочется покончить со всем; [181,213]чтобы больше не было всего этого",Смешанного типа
58,Мне стали снова приходить мысли о самоубийстве.,presuicidal_short_simple,punctuation_noise,"Расхождение в границах span'ов исчезает после нормализации (обрезки пунктуации/пробелов) — пунктуационный шум, не реальное несогласие.",1,"[0,46]Мне стали снова приходить мысли о самоубийстве",Не сложное,1,"[0,46]Мне стали снова приходить мысли о самоубийстве",Не сложное,1,"[0,46]Мне стали снова приходить мысли о самоубийстве",Не сложное
59,"Могу предположить , что если вы напишите очень аккуратный и осторожный ( это важно ) пост с вопросом про личный опыт дискриминации – результаты вас крайне удивят .",solyanka_lj_long,infinitive_clause,"Спорная клауза с инфинитивом / неполным предикатом (тип «не знаю как дышать», «хочет рассказать»).",5,"[0,17]Могу предположить; [20,70]что если вы напишите очень аккуратный и осторожный; [73,82]это важно; [85,130]пост с вопросом про личный опыт дискриминации; [133,161]результаты вас крайне удивят",Смешанного типа,3,"[0,17]Могу предположить; [20,130]что если вы напишите очень аккуратный и осторожный ( это важно ) пост с вопросом про личный опыт дискриминации; [133,161]результаты вас крайне удивят",Смешанного типа,3,"[0,17]Могу предположить; [20,130]что если вы напишите очень аккуратный и осторожный ( это важно ) пост с вопросом про личный опыт дискриминации; [133,161]результаты вас крайне удивят",Смешанного типа
60,Может мне лучше не жить?,other,punctuation_noise,"Расхождение в границах span'ов исчезает после нормализации (обрезки пунктуации/пробелов) — пунктуационный шум, не реальное несогласие.",1,"[0,23]Может мне лучше не жить",Не сложное,1,"[0,23]Может мне лучше не жить",Не сложное,1,"[0,23]Может мне лучше не жить",Не сложное
61,"Может у меня и нет таких ярких причин для самоубийства, но я все-таки хочу рассказать, почему я так хочу умереть.",presuicidal_monolabel_long,punctuation_noise,"Расхождение в границах span'ов исчезает после нормализации (обрезки пунктуации/пробелов) — пунктуационный шум, не реальное несогласие.",3,"[0,54]Может у меня и нет таких ярких причин для самоубийства; [56,85]но я все-таки хочу рассказать; [87,112]почему я так хочу умереть",Смешанного типа,3,"[0,54]Может у меня и нет таких ярких причин для самоубийства; [56,85]но я все-таки хочу рассказать; [87,112]почему я так хочу умереть",Смешанного типа,3,"[0,54]Может у меня и нет таких ярких причин для самоубийства; [56,85]но я все-таки хочу рассказать; [87,112]почему я так хочу умереть",Смешанного типа
62,"Мой молодой человек не знал, что я их принимаю тоже, поэтому мне никто не объяснил, что после их приема, развивается зависимость и если их не принимать будет жестокая ломка( как от героина.",presuicidal_monolabel_long,text_artifact,"Несбалансированные скобки/кавычки в исходном тексте — артефакт, затрудняющий согласованную разметку границ.",6,"[0,27]Мой молодой человек не знал; [29,51]что я их принимаю тоже; [53,82]поэтому мне никто не объяснил; [84,128]что после их приема, развивается зависимость; [129,151]и если их не принимать; [152,188]будет жестокая ломка( как от героина",Смешанного типа,7,"[0,27]Мой молодой человек не знал; [29,50]что я их принимаю тож; [53,82]поэтому мне никто не объяснил; [84,103]что после их приема; [105,128]развивается зависимость; [129,151]и если их не принимать; [152,188]будет жестокая ломка( как от героина",СПП,6,"[0,27]Мой молодой человек не знал; [29,51]что я их принимаю тоже; [53,82]поэтому мне никто не объяснил; [84,128]что после их приема, развивается зависимость; [129,151]и если их не принимать; [152,188]будет жестокая ломка( как от героина",СПП
63,Мой первый парень от которого сделала аборт в 16 лет.,presuicidal_short_simple,other,"Разное число клауз ({'daniil': 2, 'shirin': 1, 'igor': 1}) без явного типового паттерна.",2,"[0,17]Мой первый парень; [18,52]от которого сделала аборт в 16 лет",СПП,1,"[0,52]Мой первый парень от которого сделала аборт в 16 лет",Не сложное,1,"[0,52]Мой первый парень от которого сделала аборт в 16 лет",Не сложное
64,"Моя собственная мать, сейчас, вместе с бывшим мужем хочет отобрвть у меня детей.",presuicidal_multilabel_bsp,punctuation_noise,"Расхождение в границах span'ов исчезает после нормализации (обрезки пунктуации/пробелов) — пунктуационный шум, не реальное несогласие.",1,"[0,79]Моя собственная мать, сейчас, вместе с бывшим мужем хочет отобрвть у меня детей",Не сложное,1,"[0,79]Моя собственная мать, сейчас, вместе с бывшим мужем хочет отобрвть у меня детей",Не сложное,1,"[0,79]Моя собственная мать, сейчас, вместе с бывшим мужем хочет отобрвть у меня детей",Не сложное
65,"Мужчина утверждает, что не был напуган поведением хищника, так как гид объяснил ему, что животное поело: за несколько метров от остановки они видели растерзанную импалу.",solyanka_lenta_long,punctuation_noise,"Расхождение в границах span'ов исчезает после нормализации (обрезки пунктуации/пробелов) — пунктуационный шум, не реальное несогласие.",5,"[0,18]Мужчина утверждает; [20,57]что не был напуган поведением хищника; [59,83]так как гид объяснил ему; [85,103]что животное поело; [105,168]за несколько метров от остановки они видели растерзанную импалу",Смешанного типа,5,"[0,18]Мужчина утверждает; [20,57]что не был напуган поведением хищника; [59,83]так как гид объяснил ему; [85,103]что животное поело; [105,168]за несколько метров от остановки они видели растерзанную импалу",СПП,5,"[0,18]Мужчина утверждает; [20,57]что не был напуган поведением хищника; [59,83]так как гид объяснил ему; [85,103]что животное поело; [105,168]за несколько метров от остановки они видели растерзанную импалу",Смешанного типа
66,"Мы видимся с ним, он со своей новой семьей живет в доме напротив, я очень люблю его, ну не в этом суть.",presuicidal_multilabel_conj,punctuation_noise,"Расхождение в границах span'ов исчезает после нормализации (обрезки пунктуации/пробелов) — пунктуационный шум, не реальное несогласие.",4,"[0,16]Мы видимся с ним; [18,64]он со своей новой семьей живет в доме напротив; [66,83]я очень люблю его; [85,102]ну не в этом суть",ССП,4,"[0,16]Мы видимся с ним; [18,64]он со своей новой семьей живет в доме напротив; [66,83]я очень люблю его; [85,102]ну не в этом суть",БСП,4,"[0,16]Мы видимся с ним; [18,64]он со своей новой семьей живет в доме напротив; [66,83]я очень люблю его; [85,102]ну не в этом суть",БСП
67,"Мы можем изучать и вопросы о том , как различные страхи влияют на осанку , и вопросы о том , как именно отсутствие смирения приводит к потерям при планировании в промышленности .",solyanka_lj_long,punctuation_noise,"Расхождение в границах span'ов исчезает после нормализации (обрезки пунктуации/пробелов) — пунктуационный шум, не реальное несогласие.",4,"[0,32]Мы можем изучать и вопросы о том; [35,72]как различные страхи влияют на осанку; [75,90]и вопросы о том; [93,176]как именно отсутствие смирения приводит к потерям при планировании в промышленности",СПП,4,"[0,32]Мы можем изучать и вопросы о том; [35,72]как различные страхи влияют на осанку; [75,90]и вопросы о том; [93,176]как именно отсутствие смирения приводит к потерям при планировании в промышленности",СПП,4,"[0,32]Мы можем изучать и вопросы о том; [35,72]как различные страхи влияют на осанку; [75,90]и вопросы о том; [93,176]как именно отсутствие смирения приводит к потерям при планировании в промышленности",СПП
68,Мы расстались летом 2007 года.,presuicidal_short_simple,punctuation_noise,"Расхождение в границах span'ов исчезает после нормализации (обрезки пунктуации/пробелов) — пунктуационный шум, не реальное несогласие.",1,"[0,29]Мы расстались летом 2007 года",Не сложное,1,"[0,29]Мы расстались летом 2007 года",Не сложное,1,"[0,29]Мы расстались летом 2007 года",Не сложное
69,"Мы хорошо живем, у нас всё есть, через два года переедем в Кудрово ближе к Питеру.",presuicidal_multilabel_bsp,punctuation_noise,"Расхождение в границах span'ов исчезает после нормализации (обрезки пунктуации/пробелов) — пунктуационный шум, не реальное несогласие.",3,"[0,15]Мы хорошо живем; [17,31]у нас всё есть; [33,81]через два года переедем в Кудрово ближе к Питеру",БСП,3,"[0,15]Мы хорошо живем; [17,31]у нас всё есть; [33,81]через два года переедем в Кудрово ближе к Питеру",БСП,3,"[0,15]Мы хорошо живем; [17,31]у нас всё есть; [33,81]через два года переедем в Кудрово ближе к Питеру",БСП
70,"Мысли о смерти посещают меня с 15 лет, я много думаю о том, что смысла в жизни нет, потому что я разочаровалась в ней, живу не знаю для чего, просто понимаю, что дальше темно и лучше уже не будет, я постоянно нахожусь дома, потому что не с кем куда-то сходить, да еще как-то спасает работа, но все равно с нее нужно возвращаться в съемное жилье, а там никто не ждет.",presuicidal_multilabel_conj,infinitive_clause,"Спорная клауза с инфинитивом / неполным предикатом (тип «не знаю как дышать», «хочет рассказать»).",11,"[0,37]Мысли о смерти посещают меня с 15 лет; [39,58]я много думаю о том; [60,82]что смысла в жизни нет; [84,117]потому что я разочаровалась в ней; [119,140]живу не знаю для чего; [142,195]просто понимаю, что дальше темно и лучше уже не будет; [197,222]я постоянно нахожусь дома; [224,259]потому что не с кем куда-то сходить; [261,289]да еще как-то спасает работа; [291,344]но все равно с нее нужно возвращаться в съемное жилье; [346,365]а там никто не ждет",Смешанного типа,11,"[0,37]Мысли о смерти посещают меня с 15 лет; [39,58]я много думаю о том; [60,82]что смысла в жизни нет; [84,117]потому что я разочаровалась в ней; [119,140]живу не знаю для чего; [142,195]просто понимаю, что дальше темно и лучше уже не будет; [197,222]я постоянно нахожусь дома; [224,259]потому что не с кем куда-то сходить; [261,289]да еще как-то спасает работа; [291,344]но все равно с нее нужно возвращаться в съемное жилье; [346,365]а там никто не ждет",Смешанного типа,12,"[0,37]Мысли о смерти посещают меня с 15 лет; [39,58]я много думаю о том; [60,82]что смысла в жизни нет; [84,117]потому что я разочаровалась в ней; [119,140]живу не знаю для чего; [142,156]просто понимаю; [158,195]что дальше темно и лучше уже не будет; [197,222]я постоянно нахожусь дома; [224,259]потому что не с кем куда-то сходить; [261,289]да еще как-то спасает работа; [291,344]но все равно с нее нужно возвращаться в съемное жилье; [346,365]а там никто не ждет",СПП
71,"Мысли о суициде появились как-то спонтанно, а 19 я уже пыталась повеситься, я была одна дома, но это не удалось, к сожалению.",presuicidal_monolabel_long,punctuation_noise,"Расхождение в границах span'ов исчезает после нормализации (обрезки пунктуации/пробелов) — пунктуационный шум, не реальное несогласие.",4,"[0,42]Мысли о суициде появились как-то спонтанно; [44,74]а 19 я уже пыталась повеситься; [76,92]я была одна дома; [94,124]но это не удалось, к сожалению",Смешанного типа,4,"[0,42]Мысли о суициде появились как-то спонтанно; [44,74]а 19 я уже пыталась повеситься; [76,92]я была одна дома; [94,124]но это не удалось, к сожалению",Смешанного типа,4,"[0,42]Мысли о суициде появились как-то спонтанно; [44,74]а 19 я уже пыталась повеситься; [76,92]я была одна дома; [94,124]но это не удалось, к сожалению",Смешанного типа
72,"На свою жизнь я не жалуюсь, есть хлеб, кров и удобства Но последние месяца 4 меня постоянно посещают суицидальные мысли, частые затяжные депрессии, почти без причины.",presuicidal_multilabel_conj,homogeneous_predicates,"Однородные сказуемые через запятую — один аннотатор разделил их на несколько клауз, другой счёл их одной клаузой с однородными членами.",3,"[0,26]На свою жизнь я не жалуюсь; [28,54]есть хлеб, кров и удобства; [55,165]Но последние месяца 4 меня постоянно посещают суицидальные мысли, частые затяжные депрессии, почти без причины",Смешанного типа,4,"[0,26]На свою жизнь я не жалуюсь; [28,54]есть хлеб, кров и удобства; [55,119]Но последние месяца 4 меня постоянно посещают суицидальные мысли; [121,165]частые затяжные депрессии, почти без причины",Смешанного типа,3,"[0,26]На свою жизнь я не жалуюсь; [28,54]есть хлеб, кров и удобства; [55,165]Но последние месяца 4 меня постоянно посещают суицидальные мысли, частые затяжные депрессии, почти без причины",Смешанного типа
73,"На сегодняшний момент у меня 250000 долга, которые мне нечем платить, у меня нет работы и нам реально нечего есть.",presuicidal_multilabel_conj,split_main_clause,Главное предложение со встроенным придаточным — варианты разметки: 2 span'а главной части + придаточное / перекрытие / 2 span'а.,4,"[0,41]На сегодняшний момент у меня 250000 долга; [43,68]которые мне нечем платить; [70,87]у меня нет работы; [88,113]и нам реально нечего есть",Смешанного типа,4,"[0,41]На сегодняшний момент у меня 250000 долга; [43,68]которые мне нечем платить; [70,87]у меня нет работы; [88,113]и нам реально нечего есть",Смешанного типа,4,"[1,41]а сегодняшний момент у меня 250000 долга; [43,68]которые мне нечем платить; [70,87]у меня нет работы; [88,113]и нам реально нечего есть",Смешанного типа
74,"На что она мне дала ясно понять, что я назойливый и плаксливый мудак.",other,punctuation_noise,"Расхождение в границах span'ов исчезает после нормализации (обрезки пунктуации/пробелов) — пунктуационный шум, не реальное несогласие.",2,"[0,31]На что она мне дала ясно понять; [33,68]что я назойливый и плаксливый мудак",СПП,2,"[0,31]На что она мне дала ясно понять; [33,68]что я назойливый и плаксливый мудак",СПП,2,"[0,31]На что она мне дала ясно понять; [33,68]что я назойливый и плаксливый мудак",СПП
75,"Надо мной смеются даже люди, которые слабее меня, я вообще в этой жизни никто.",presuicidal_multilabel_bsp,split_main_clause,Главное предложение со встроенным придаточным — варианты разметки: 2 span'а главной части + придаточное / перекрытие / 2 span'а.,3,"[0,27]Надо мной смеются даже люди; [29,48]которые слабее меня; [50,77]я вообще в этой жизни никто",Смешанного типа,3,"[0,27]Надо мной смеются даже люди; [29,48]которые слабее меня; [50,77]я вообще в этой жизни никто",Смешанного типа,3,"[0,27]Надо мной смеются даже люди; [30,48]оторые слабее меня; [50,77]я вообще в этой жизни никто",Смешанного типа
76,"Наконец-то я была счастлива, что обрела человека, который меня понимает.",presuicidal_multilabel_conj,punctuation_noise,"Расхождение в границах span'ов исчезает после нормализации (обрезки пунктуации/пробелов) — пунктуационный шум, не реальное несогласие.",3,"[0,27]Наконец-то я была счастлива; [29,48]что обрела человека; [50,71]который меня понимает",СПП,3,"[0,27]Наконец-то я была счастлива; [29,48]что обрела человека; [50,71]который меня понимает",СПП,3,"[0,27]Наконец-то я была счастлива; [29,48]что обрела человека; [50,71]который меня понимает",СПП
77,"Народ кипятком писает , но мы решили , что в Перу и так хватает погружения в древнюю цивилизацию : горячая вода не везде , по утрам встаешь с петухами , а они на тебя орут , представляете ?",solyanka_lj_long,homogeneous_predicates,"Однородные сказуемые через запятую — один аннотатор разделил их на несколько клауз, другой счёл их одной клаузой с однородными членами.",7,"[0,21]Народ кипятком писает; [24,36]но мы решили; [39,96]что в Перу и так хватает погружения в древнюю цивилизацию; [99,120]горячая вода не везде; [123,150]по утрам встаешь с петухами; [153,171]а они на тебя орут; [174,187]представляете",Смешанного типа,7,"[0,21]Народ кипятком писает; [24,36]но мы решили; [39,96]что в Перу и так хватает погружения в древнюю цивилизацию; [100,120]орячая вода не везде; [123,150]по утрам встаешь с петухами; [153,171]а они на тебя орут; [174,187]представляете",Смешанного типа,4,"[0,21]Народ кипятком писает; [24,36]но мы решили; [39,150]что в Перу и так хватает погружения в древнюю цивилизацию : горячая вода не везде , по утрам встаешь с петухами; [153,187]а они на тебя орут , представляете",Смешанного типа
78,"Начался обратный отсчёт перед стартом , в котором должны были принять участие все страны ; каждая на свой лад и иной раз неосознанно вносила свой вклад в сборку механизма , из которого должен был возникнуть новый мир .",solyanka_lj_long,other,Несовпадение границ span'ов без явного типового паттерна.,4,"[0,37]Начался обратный отсчёт перед стартом; [40,88]в котором должны были принять участие все страны; [91,170]каждая на свой лад и иной раз неосознанно вносила свой вклад в сборку механизма; [173,216]из которого должен был возникнуть новый мир",Смешанного типа,4,"[0,37]Начался обратный отсчёт перед стартом; [40,88]в котором должны были принять участие все страны; [92,170]аждая на свой лад и иной раз неосознанно вносила свой вклад в сборку механизма; [173,216]из которого должен был возникнуть новый мир",Смешанного типа,4,"[0,37]Начался обратный отсчёт перед стартом; [40,88]в котором должны были принять участие все страны; [91,170]каждая на свой лад и иной раз неосознанно вносила свой вклад в сборку механизма; [173,216]из которого должен был возникнуть новый мир",Смешанного типа
79,"Не могу спать, по ночам - каждый день просыпаюсь в 3 ночи, и начинается - лезет какой-то бред, что нужно совершить суицид, или сломать себе что нибудь",presuicidal_multilabel_conj,infinitive_clause,"Спорная клауза с инфинитивом / неполным предикатом (тип «не знаю как дышать», «хочет рассказать»).",4,"[0,13]Не могу спать; [15,57]по ночам - каждый день просыпаюсь в 3 ночи; [59,93]и начинается - лезет какой-то бред; [95,150]что нужно совершить суицид, или сломать себе что нибудь",Смешанного типа,5,"[0,23]Не могу спать, по ночам; [26,57]каждый день просыпаюсь в 3 ночи; [59,71]и начинается; [74,93]лезет какой-то бред; [95,150]что нужно совершить суицид, или сломать себе что нибудь",Смешанного типа,4,"[0,13]Не могу спать; [15,71]по ночам - каждый день просыпаюсь в 3 ночи, и начинается; [74,93]лезет какой-то бред; [95,150]что нужно совершить суицид, или сломать себе что нибудь",Смешанного типа
80,"Не правильно это хоронить своих детей, он был для меня всё, а как теперь дальше без него?",presuicidal_monolabel_long,infinitive_clause,"Спорная клауза с инфинитивом / неполным предикатом (тип «не знаю как дышать», «хочет рассказать»).",3,"[0,37]Не правильно это хоронить своих детей; [39,58]он был для меня всё; [60,88]а как теперь дальше без него",Смешанного типа,4,"[0,12]Не правильно; [13,37]это хоронить своих детей; [39,58]он был для меня всё; [60,88]а как теперь дальше без него",Смешанного типа,3,"[0,37]Не правильно это хоронить своих детей; [39,58]он был для меня всё; [60,88]а как теперь дальше без него",Смешанного типа
81,"Недавно закончила институт, мне очень нравилось учиться, нравилась наша группа.",presuicidal_multilabel_bsp,infinitive_clause,"Спорная клауза с инфинитивом / неполным предикатом (тип «не знаю как дышать», «хочет рассказать»).",3,"[0,26]Недавно закончила институт; [28,55]мне очень нравилось учиться; [57,78]нравилась наша группа",БСП,3,"[0,26]Недавно закончила институт; [28,55]мне очень нравилось учиться; [57,78]нравилась наша группа",БСП,2,"[0,26]Недавно закончила институт; [28,78]мне очень нравилось учиться, нравилась наша группа",БСП
82,Недавно я еле-еле уговорила маму отвести меня к психиатру ( она куча раз отказывала мне.,presuicidal_multilabel_conj,punctuation_noise,"Расхождение в границах span'ов исчезает после нормализации (обрезки пунктуации/пробелов) — пунктуационный шум, не реальное несогласие.",2,"[0,57]Недавно я еле-еле уговорила маму отвести меня к психиатру; [60,87]она куча раз отказывала мне",БСП,2,"[0,57]Недавно я еле-еле уговорила маму отвести меня к психиатру; [60,87]она куча раз отказывала мне",БСП,2,"[0,57]Недавно я еле-еле уговорила маму отвести меня к психиатру; [60,87]она куча раз отказывала мне",БСП
83,"Неделю назад говорила бывшей однокласснице ребенка - мол, не слушай других, ты имеешь право скорбеть столько, сколько надо, никто не может решить за тебя, сколько тебе нужно времени, дай себе это пережить.",presuicidal_monolabel_long,demonstrative_words,Указательное/соотносительное слово (тот/туда/тогда/так) — аннотаторы по-разному отнесли его к главной или придаточной части (несовпадение границ при равном числе клауз).,6,"[0,50]Неделю назад говорила бывшей однокласснице ребенка; [53,74]мол, не слушай других; [76,122]ты имеешь право скорбеть столько, сколько надо; [124,153]никто не может решить за тебя; [155,181]сколько тебе нужно времени; [183,204]дай себе это пережить",Смешанного типа,6,"[0,50]Неделю назад говорила бывшей однокласснице ребенка; [53,74]мол, не слушай других; [76,122]ты имеешь право скорбеть столько, сколько надо; [124,153]никто не может решить за тебя; [155,181]сколько тебе нужно времени; [183,204]дай себе это пережить",Смешанного типа,6,"[0,50]Неделю назад говорила бывшей однокласснице ребенка; [58,74]не слушай других; [76,122]ты имеешь право скорбеть столько, сколько надо; [124,153]никто не может решить за тебя; [155,181]сколько тебе нужно времени; [183,204]дай себе это пережить",Смешанного типа
84,"Незнаю когда это произошло, может в детстве, когда меня выгонял из дома отец, за то что я пыталась защитить маму, а может позже, когда люди перестали меня понимать, Незнаю да и мне плевать.",presuicidal_multilabel_conj,parenthetical,"Вводное/вставное слово или конструкция — расхождение в том, считать ли её отдельной вставной клаузой.",7,"[0,6]Незнаю; [7,43]когда это произошло, может в детстве; [45,76]когда меня выгонял из дома отец; [78,112]за то что я пыталась защитить маму; [114,127]а может позже; [129,163]когда люди перестали меня понимать; [165,188]Незнаю да и мне плевать",Смешанного типа,8,"[0,26]Незнаю когда это произошло; [28,43]может в детстве; [45,83]когда меня выгонял из дома отец, за то; [84,112]что я пыталась защитить маму; [114,127]а может позже; [129,163]когда люди перестали меня понимать; [165,171]Незнаю; [172,188]да и мне плевать",Смешанного типа,6,"[0,43]Незнаю когда это произошло, может в детстве; [45,76]когда меня выгонял из дома отец; [78,112]за то что я пыталась защитить маму; [114,127]а может позже; [129,163]когда люди перестали меня понимать; [165,188]Незнаю да и мне плевать",Смешанного типа
85,Ненавижу( все достали даже своё дэрэ отпраздновать боюсь да я всего боюссь(((,other,text_artifact,"Несбалансированные скобки/кавычки в исходном тексте — артефакт, затрудняющий согласованную разметку границ.",4,"[0,8]Ненавижу; [10,21]все достали; [22,56]даже своё дэрэ отпраздновать боюсь; [57,74]да я всего боюссь",БСП,4,"[0,8]Ненавижу; [10,21]все достали; [22,56]даже своё дэрэ отпраздновать боюсь; [57,74]да я всего боюссь",БСП,3,"[0,8]Ненавижу; [10,21]все достали; [22,74]даже своё дэрэ отпраздновать боюсь да я всего боюссь",БСП
