text,spans,label
"А иногда задумываюсь зачем я в этой жизни, такая не кому не нужная, одинокая, без всякой поддержки.","[(0, 41, 'clause'), (43, 66, 'clause'), (68, 76, 'clause'), (78, 98, 'clause')]",
"Единственное что мне интересно, так это творчество, но я никак не могу сконцентрироваться и доделать свою работу до конца, все дается с трудом.","[(0, 30, 'clause'), (32, 50, 'clause'), (52, 121, 'clause'), (123, 142, 'clause')]",
"Мы хорошо общаемся, и я счастлива, и благодарна за каждый миг, проведённый с ним.","[(0, 18, 'clause'), (20, 80, 'clause')]",
"Я мучал, издевался над животными когда они были при смерти.","[(0, 32, 'clause'), (33, 58, 'clause')]",
"Это очень больно видеть и хочется умереть ибо я устала страдать, плакать и истерить каждый день.","[(0, 23, 'clause'), (24, 41, 'clause'), (42, 95, 'clause')]",
Я больше не хочу и не могу жить.,"[(0, 31, 'clause')]",
"Я хочу смерти, потому что я не уважаю этот мир, это ад, где вокруг блудят тупые грешники.","[(0, 13, 'clause'), (15, 46, 'clause'), (48, 54, 'clause'), (56, 88, 'clause')]",
"В целом спасибо за внимание, извините что на общем фоне моя проблема кажется настоящим нытьём, но я был бы рад услышать от кого-то совет по поводу как и что делать дальше т. к. после мыслей о суициде, я боюсь пойдёт фантазии о том что мир мне что-то должен и я обязан вернуть обществу и миру все страдания которые мне пришлось пережить.","[(0, 27, 'clause'), (29, 37, 'clause'), (38, 93, 'clause'), (95, 146, 'clause'), (147, 170, 'clause'), (171, 208, 'clause'), (209, 230, 'clause'), (231, 256, 'clause'), (257, 305, 'clause'), (306, 335, 'clause')]",
а я его давно люблю даже когда он женился я не переставала его любить.,"[(0, 19, 'clause'), (20, 41, 'clause'), (42, 69, 'clause')]",
"потом забила на это дело, т. к. ничего больше не приносит удовлетворения, ничего не отвлекает меня от моей забитой депрессии и ненависти к себе и окружающему миру.","[(0, 24, 'clause'), (26, 72, 'clause'), (74, 162, 'clause')]",
"Жить не хочется, раз я такой отвратительный человек, я никому не нужна.","[(0, 15, 'clause'), (17, 51, 'clause'), (53, 70, 'clause')]",
"Знаю что суицид это грех, но я и так получается грешен, так как убил себя и семью этой выходной в игру, да ещё на чудижие деньги.","[(0, 24, 'clause'), (26, 54, 'clause'), (56, 102, 'clause'), (104, 128, 'clause')]",
"у меня очень сложные отношения с человеком, который мне очень дорог, без которого я не смогу жить, если потеряю, ведь он у меня один.","[(0, 42, 'clause'), (44, 67, 'clause'), (69, 97, 'clause'), (99, 111, 'clause'), (113, 132, 'clause')]",
"Мне 17 лет, всего навсего, но столько произошло в моей убогой жизни, что порой задумываюсь о суициде.","[(0, 25, 'clause'), (27, 67, 'clause'), (69, 100, 'clause')]",
"Никогда не задумывался о суициде, но в моем текущем состоянии, чувствую что лучше закончить сегодня, и не видеть завтрашний рассвет, когда я окажусь на улицах.","[(0, 32, 'clause'), (34, 71, 'clause'), (72, 131, 'clause'), (133, 158, 'clause')]",
"Кричал что я не работаю, что я пью, когда я ему говорю что мне морально очень тяжело, мне тяжело каждый день видеть пьяного человека, вообщем во всех бедах виновата я. Секса у нас не было 4 мес. Я вижу что на меня обращают внимание мужчины, мне говорят что я красивая, но у меня настолько уже пониженна самооценка, что порой кажется что лучше спиться и тихонько умереть, чем портить всем жизнь, я же ничтожество, и не достойна быть женой и матерью.","[(0, 23, 'clause'), (25, 34, 'clause'), (36, 84, 'clause'), (86, 132, 'clause'), (134, 166, 'clause'), (168, 193, 'clause'), (195, 239, 'clause'), (241, 267, 'clause'), (269, 313, 'clause'), (315, 369, 'clause'), (371, 393, 'clause'), (395, 411, 'clause'), (413, 447, 'clause')]",
И эта мысль приходит мне в голову не первый раз. Всё просто ужасно ---Везде одни долги.,"[(0, 47, 'clause'), (49, 66, 'clause'), (70, 86, 'clause')]",
"После всего этого я начала больше слушать рок постоянно рисую хочу курить и пить и начала заходить на группы от которых раньше меня выворачивало а сейчас наоборот тянет ( там все про кишки, кровь и тому подобное) и почему-то начала думать о смерти хотя я всегда была против такого и свою подругу отговаривала от этого а теперь сама такое делаю но хотя бы я себя сдерживаю чтобы не курить и не пить хотя это не на долго.","[(0, 108, 'clause'), (109, 144, 'clause'), (145, 168, 'clause'), (171, 211, 'clause'), (213, 247, 'clause'), (248, 317, 'clause'), (318, 343, 'clause'), (344, 371, 'clause'), (372, 397, 'clause'), (398, 418, 'clause')]",
"Я хочу уехать, но не хочу бросать лучшего друга.","[(0, 13, 'clause'), (15, 47, 'clause')]",
"У меня в моем зрелом возрасте нет работы( я ни одного дня не работала вообще, хотя закончила вуз с отличием- просто потому что боюсь людей и не умею общаться с ними, я ни разу не была замужем, детей нет.","[(0, 40, 'clause'), (42, 76, 'clause'), (78, 107, 'clause'), (109, 164, 'clause'), (166, 191, 'clause'), (193, 202, 'clause')]",
Сейчас я хочу или найти смысл жить или смелость умереть,"[(0, 55, 'clause')]",
"Мне казалось, что я какая-то неправильная, что со мной что-то не так. Было несколько попыток покончить с собой.","[(0, 12, 'clause'), (14, 41, 'clause'), (43, 68, 'clause'), (70, 110, 'clause')]",
Кроме того как покончить с собой я не нахожу себя в этом мире,"[(0, 32, 'clause'), (33, 61, 'clause')]",
"Июнь, июль, август - у меня депрессия у меня нет ни машины, ни денег, ни работы, остались 10000 которые надо растягивать на продукты, кварплату и все необходимое.","[(0, 18, 'clause'), (21, 37, 'clause'), (38, 79, 'clause'), (81, 95, 'clause'), (96, 161, 'clause')]",
"я улыбаюсь, я щучу, смеюсь над чужими историями и планирую лето.","[(0, 10, 'clause'), (12, 18, 'clause'), (20, 63, 'clause')]",
"Когда он рядом, я чувствую себя самой счастливой.","[(0, 14, 'clause'), (16, 48, 'clause')]",
Слишком частые приступы страха и паники отнимают у меня все силы.,"[(0, 64, 'clause')]",
"Я потеряла весь смысл жизни, я постоянно боюсь, что заболею чем то другим.","[(0, 27, 'clause'), (29, 46, 'clause'), (48, 73, 'clause')]",
"Но я настолько трусливый в этом плане, возможно и эгоист - я не смогу себя убить, лишь потому: Я ХОЧУ ЖИТЬ.","[(0, 56, 'clause'), (59, 93, 'clause'), (95, 106, 'clause')]",
Я вышла второй раз замуж по огромной любви!,"[(0, 42, 'clause')]",
"Мысль о суициде приходила ко мне еще лет в 17, когда я поступил после школы не туда, куда хотел, а пошел в ВУЗ на абсолютно чуждую мне специальность по совету родителей.","[(0, 45, 'clause'), (47, 83, 'clause'), (85, 95, 'clause'), (97, 168, 'clause')]",
"Я просила помощи у Бога, сначала это помогло, но сейчас уже нет сил, хочется умереть и не возвращаться в этот ад снова.","[(0, 23, 'clause'), (25, 44, 'clause'), (46, 67, 'clause'), (69, 118, 'clause')]",
"и я не понимаю почему всем так нравится, последний год я БЕЗУМНО влюблена в своего лучшего друга и знаю что он тоже что-то чувствует ко мне, но я понимаю что ничего не может быть ведь мы слишком разные и я знаю какова будет реакция наших общих друзей.","[(0, 14, 'clause'), (15, 39, 'clause'), (41, 103, 'clause'), (104, 139, 'clause'), (141, 153, 'clause'), (154, 178, 'clause'), (179, 201, 'clause'), (202, 210, 'clause'), (211, 250, 'clause')]",
"нам с дочкой сейчас очень нужны продукты любые, кушать заканчивается и что делать не знаю аж покончить с собой хочется.","[(0, 46, 'clause'), (48, 68, 'clause'), (69, 81, 'clause'), (82, 89, 'clause'), (90, 118, 'clause')]",
"После того как вылетел испортились отношения с близкими и я не могу ничего делать, практически не выхожу из своей комнаты, не знаю куда мне идти и что делать, поговорить не с кем.","[(0, 55, 'clause'), (56, 81, 'clause'), (83, 121, 'clause'), (123, 157, 'clause'), (159, 178, 'clause')]",
"помогите пожалуйста, я сейчас в депрессии от этой жизни, я не могу ничего сделать, я уже не радуюсь жизни, я думаю о самоубийстве.","[(0, 19, 'clause'), (21, 55, 'clause'), (57, 81, 'clause'), (83, 105, 'clause'), (107, 129, 'clause')]",
"Он снова ушёл, как будто вышел погулять и не вернулся, понимаю разумом, что насильно мил не будешь, но душой отпустить не могу, я его очень сильно люблю.","[(0, 13, 'clause'), (15, 53, 'clause'), (55, 70, 'clause'), (72, 98, 'clause'), (100, 126, 'clause'), (128, 152, 'clause')]",
"Я каждый раз могу изрезать своё тело, мне плевать на себя.","[(0, 36, 'clause'), (38, 57, 'clause')]",
"Мне 26 лет, за всю свою жизнь я ничего не добился, близкие или родные умерли, друзей нет, работаю за копейки на складе, за время работы появились серьезные проблемы со здоровьем из-за ужасных условий труда, зарплаты не хватает что бы прожить до конца месяца из-за чего имею крупные просрочки в платежах по квартплате, электричество отключат в следующем месяце, поменять работу не получается так как на всех собеседованиях где я был за последнее время мне либо отказывают либо состояние здоровья не позволяет туда пойти, девушки или подруги нет, последние отношения с противоположным полом были, когда мне было еще 16, с тех пор даже подруги не было, прекрасно понимаю, что виноват в своих проблемах я сам и по этому никого не виню, просто хочу что бы этот ад под названием жизнь наконец то закончился, но к сожалению моих моральных сил не хватает на то, что бы совершить суицид, и по этому я решился написать сюда.","[(0, 10, 'clause'), (12, 49, 'clause'), (51, 76, 'clause'), (78, 88, 'clause'), (90, 118, 'clause'), (120, 205, 'clause'), (207, 226, 'clause'), (227, 257, 'clause'), (258, 316, 'clause'), (318, 359, 'clause'), (361, 390, 'clause'), (391, 450, 'clause'), (451, 470, 'clause'), (471, 518, 'clause'), (520, 543, 'clause'), (545, 593, 'clause'), (595, 616, 'clause'), (618, 648, 'clause'), (650, 667, 'clause'), (669, 704, 'clause'), (705, 730, 'clause'), (732, 743, 'clause'), (744, 800, 'clause'), (854, 877, 'clause'), (879, 913, 'clause')]",
"Я хочу просто исчезнуть в небытие, не хочу ни рая, ни ада.","[(0, 33, 'clause'), (35, 57, 'clause')]",
"Постоянные мысли о самоубийстве начале приема наркоты опять, останавливал лишь единственный человек, которому до меня было дело, подруга говорила что если сделаю суицид, она пойдет следом за мной, если начну принимать опять - начнет со мной, а она только бросила траву как 2 месяца.","[(0, 99, 'clause'), (101, 127, 'clause'), (129, 145, 'clause'), (146, 168, 'clause'), (170, 195, 'clause'), (197, 223, 'clause'), (226, 240, 'clause'), (242, 281, 'clause')]",
"Мне 40 лет и все чаще и чаще меня посещают мысли о самоубийстве, но у меня двое детей, сыну 10 и дочке 14, и только мысль о том, как они будут жить без меня останавливает от этого шага.","[(0, 10, 'clause'), (11, 63, 'clause'), (65, 85, 'clause'), (87, 94, 'clause'), (95, 105, 'clause'), (107, 184, 'clause')]",
"Хочется уйти из жизни, так, чтобы уснуть и не проснуться больше, но это не скоро произойдет, а накладывать на себя руки я не могу, но хочется умереть.","[(0, 26, 'clause'), (28, 63, 'clause'), (65, 91, 'clause'), (93, 129, 'clause'), (131, 149, 'clause')]",
"Поэтому мысль о суициде все чаще меня посещает, ведь я как в перевернувшейся банке-западне, в тупике, не живу сама и не даю жить другим.","[(0, 46, 'clause'), (48, 135, 'clause')]",
"Иногда мне кажется, что суицид единственный выход.","[(0, 18, 'clause'), (20, 49, 'clause')]",
"Я очень сильно люблю свою бабушку, маму я тоже люблю, но она сейчас в другом городе на работе.","[(0, 33, 'clause'), (35, 52, 'clause'), (54, 93, 'clause')]",
я хочу умереть просто потому что мне не нравится жить.,"[(0, 14, 'clause'), (15, 53, 'clause')]",
"Я очень люблю готовить и всегда старалась порадовать его чем-то вкусненьким, различной выпечкой.","[(0, 95, 'clause')]",
"Плюс к этому я потеряла любимую работу, о которой мечтала с 8 класса и которой добивалась 7 лет, причем потеряла из-за собственной глупости.","[(0, 38, 'clause'), (40, 68, 'clause'), (69, 95, 'clause'), (97, 139, 'clause')]",
"Очень плохо стала себя чувствовать, сердце болит постоянно, врачи настаивают на серьезном лечении, но на него нет денег, и времени.","[(0, 34, 'clause'), (36, 58, 'clause'), (60, 97, 'clause'), (99, 119, 'clause'), (121, 130, 'clause')]",
Я в полном отчаянии - я устала жить при постоянном сквоязяке и выдувании квартиры - я уже хочу покончить с собой - тк просвета и выхода в этой идиотской сиуации уже не вижу.,"[(0, 19, 'clause'), (22, 81, 'clause'), (84, 112, 'clause'), (115, 172, 'clause')]",
Добрый день что мне делать кто может дать совет очень боюсь ездить на машине в виде пассажира страх в перед меня родился не могу с собой совладеть схожу от страха с ума как быть и перебороть страх кто что посаветует спасибо,"[(0, 11, 'clause'), (12, 26, 'clause'), (27, 47, 'clause'), (48, 93, 'clause'), (94, 120, 'clause'), (121, 146, 'clause'), (147, 168, 'clause'), (169, 196, 'clause'), (197, 223, 'clause')]",
54 года потерял работу и скорее всего я ее уже до пенсии в 60 лет я не найду на что и как жить и чем кормить семью не знаю хочу покончить жизнь самоубийством ищу в инете инфо по легкому суициду,"[(0, 22, 'clause'), (23, 76, 'clause'), (77, 94, 'clause'), (95, 122, 'clause'), (123, 157, 'clause')]",
"Вначале болезнь, которую не знают как вылечить, затем начинали сдавать нервы ( из-за них нашли новую болезнь, каждый день таблетки, успокоительное; по учёбе скатилась; круг моего общения сократился до мамы и моей теперь уже единственной подруги; уже месяц я выхожу на улицу только, чтобы встретить маму с работы.","[(0, 15, 'clause'), (17, 46, 'clause'), (48, 76, 'clause'), (79, 108, 'clause'), (110, 130, 'clause'), (132, 146, 'clause'), (148, 166, 'clause'), (168, 244, 'clause'), (246, 280, 'clause'), (282, 311, 'clause')]",
"я так больше не могу, меня это просто убивает, я даже не надеюсь, что моя жизнь изменится, мне очень плохо, мне просто хочется умереть!","[(0, 20, 'clause'), (22, 45, 'clause'), (47, 64, 'clause'), (66, 89, 'clause'), (91, 106, 'clause'), (108, 134, 'clause')]",
"Я не хочу жить, потому что я уродина и никому ненужна.","[(0, 14, 'clause'), (16, 53, 'clause')]",
"Последние дни я всё время плачу, и думаю, что не хочу жить.","[(0, 31, 'clause'), (33, 40, 'clause'), (42, 58, 'clause')]",
"В душе я очень сентиментальный, но никто об этом не знает(даже родители)каждый день я играю роль обычного парня, но по ночам я плачу, понимая какой я жалкий, я даже не могу признаться девушке в своих чувствах, из-за этого я ненавижу себя.","[(0, 30, 'clause'), (32, 111, 'clause'), (113, 132, 'clause'), (134, 156, 'clause'), (158, 208, 'clause'), (210, 237, 'clause')]",
"Я очень хочу закончить учебу и найти работу, накопить деньги на жилье и съехать от них побыстрее, я уже схожу с ума в 4-х стенах, не могу слышать эти крики и пустые придирки ко мне, помогите пожалуйста.","[(0, 96, 'clause'), (98, 128, 'clause'), (130, 180, 'clause'), (182, 201, 'clause')]",
В школе меня все ненавидят и даже дома.,"[(0, 38, 'clause')]",
"Не могу отделаться от мысли, что пойди я к психиатру раньше, то удалось бы сохранить отношения.","[(0, 27, 'clause'), (29, 59, 'clause'), (61, 94, 'clause')]",
"но я до сих пор его люблю, я чувствуюэто, я не могу быть ни с кем.","[(0, 25, 'clause'), (27, 40, 'clause'), (42, 65, 'clause')]",
Дома я чувствую себя незащищённой и вечно прибываю в подавленном настроение.,"[(0, 75, 'clause')]",
"Я и жить то не особо хочу, особенно когда остаюсь один, т. к. не вижу для себя никаких перспектив.","[(0, 25, 'clause'), (27, 54, 'clause'), (56, 97, 'clause')]",
"я тяжело болею 10 лет, 3 года назад я серьезно начал задумываться о смерти, продумал где и как, собственно все уже готово как год. думаю и желаю себе смерти с утра до вечера, я просто не могу пойти и сделать, как будто в мозгу блокируется такой исход событий, уверен на 100 проц что это случится, ибо так жить нельзя, у меня нет причин здесь оставаться.","[(0, 21, 'clause'), (23, 74, 'clause'), (76, 94, 'clause'), (96, 129, 'clause'), (131, 173, 'clause'), (175, 207, 'clause'), (209, 258, 'clause'), (260, 295, 'clause'), (297, 316, 'clause'), (318, 352, 'clause')]",
"Так повелось что счастливая семья для меня имеет весомую мечту, просто иметь свою семью, больше для счастья и не нужно бы было.","[(0, 12, 'clause'), (13, 62, 'clause'), (64, 87, 'clause'), (89, 126, 'clause')]",
"Хочу сдохнуть, но меня и тут называют редкостной дрянью и эгоисткой, говорят, чтобы подумала о матери, о них ( друзьях!","[(0, 13, 'clause'), (15, 67, 'clause'), (69, 118, 'clause')]",
"Любит издеваться надо мной и моими чувствами, а мне порой хочется прийти домой и убить себя после какой-нибудь очередной его выходки.","[(0, 44, 'clause'), (46, 132, 'clause')]",
"Я так жить не хочу, мне больно видеть страдания сына, он не заслуживает такой жизни.","[(0, 18, 'clause'), (20, 52, 'clause'), (54, 83, 'clause')]",
"Жить не хочу, я просто ничтожество.","[(0, 12, 'clause'), (14, 34, 'clause')]",
"Он мое счастье и радость, я безумно люблю его, он такой долгожданный - я родила его в 36 лет.","[(0, 24, 'clause'), (26, 45, 'clause'), (47, 68, 'clause'), (71, 92, 'clause')]",
"Каждый раз то мама меня кольнет чем-то, то опять набухается, то еще что случиться уже не дома даже и я чувствую, что сейчас я пока имею силы собраться, не раскисать, не кончать жизнь.","[(0, 38, 'clause'), (40, 59, 'clause'), (61, 98, 'clause'), (99, 111, 'clause'), (113, 182, 'clause')]",
"Через пару недель мне исполняется 23 года и вроде бы всё у меня нормально, но и меня настигла депрессия с мыслями о су.","[(0, 41, 'clause'), (42, 73, 'clause'), (75, 118, 'clause')]",
"Я потеряла себя, я похоронила вместе с любовью и все свои чувства.","[(0, 15, 'clause'), (17, 65, 'clause')]",
"Я училась в академии русского балеты им. Вагановой, где подвергалась психологическому насилию со стороны педагогов, а также своей мамы.","[(0, 50, 'clause'), (52, 134, 'clause')]",
"Я уже начинаю боятся своих мыслей, картинки о смерти сами всплывают в голове, но я не хочу умирать, я хочу уйти от проблем.","[(0, 33, 'clause'), (35, 76, 'clause'), (78, 98, 'clause'), (100, 122, 'clause')]",
"Мне 20 лет и я больше не хочу жить, все дается мне очень тяжело, никак не могу войти в общество, к людям.","[(0, 10, 'clause'), (11, 34, 'clause'), (36, 63, 'clause'), (65, 104, 'clause')]",
депрессия заставляет вас чувствовать себя таким одиноким и далеким от всех.,"[(0, 74, 'clause')]",
"Теперь у меня нет друзей, нет любви и вообще жизни, поэтому я хочу покончить с собой.","[(0, 50, 'clause'), (52, 84, 'clause')]",
"Но приезжает моя мама и хочет забрать меня, и я не знаю что делать, не хочу бросать девушку я не смогу без неё.","[(0, 42, 'clause'), (44, 66, 'clause'), (68, 110, 'clause')]",
"Парни из-за того что есть ребёнок, они не уважают меня, я что виновата что у меня муж так поступил?","[(0, 33, 'clause'), (35, 54, 'clause'), (56, 70, 'clause'), (71, 98, 'clause')]",
Меня он закинул в черный список и в сети и в телефоне Я замкнулась в себе ни с кем не общаюсь.,"[(0, 53, 'clause'), (54, 93, 'clause')]",
"Причиной было только это, всё остальное я бы стерпела, я боялась, что он не поймёт, что ""я не люблю и никогда не любила его"" опять.","[(0, 24, 'clause'), (26, 53, 'clause'), (55, 64, 'clause'), (66, 82, 'clause'), (84, 130, 'clause')]",
"Постоянно слежу за своим дыханием, за каждым вздохом и выдохом, наблюдаю за дыханием окружающих, иногда моё дыхание приводят меня в панику, с паническое состояние, раньше мне пофиг было сейчас я не знаю че оно так получается, это ж как то вылечивается?","[(0, 33, 'clause'), (35, 62, 'clause'), (64, 95, 'clause'), (97, 138, 'clause'), (140, 162, 'clause'), (164, 185, 'clause'), (186, 202, 'clause'), (203, 224, 'clause'), (226, 251, 'clause')]",
"Но все ухудшилось месяца 4 назад, я потерял работу, окончательно замкнулся, с друзьями встречаюсь раз в месяц, опасения новых знакомств и т. д. Если у кого были хоть немного похожие проблемы, посоветуйте что делать, какой антидепрессант лучше выбрать?","[(0, 32, 'clause'), (34, 50, 'clause'), (52, 74, 'clause'), (76, 109, 'clause'), (111, 142, 'clause'), (144, 190, 'clause'), (192, 203, 'clause'), (204, 214, 'clause'), (216, 250, 'clause')]",
"Единственное спасение - это интернет, но там я выдаю себя за другого человека, что загоняет меня в депрессию.","[(0, 36, 'clause'), (38, 77, 'clause'), (79, 108, 'clause')]",
"Жаль, что у меня есть семья, для которой будет травмой мой суицид","[(0, 4, 'clause'), (6, 27, 'clause'), (29, 65, 'clause')]",
У меня было все прекасная работа друзья и даже любимая жена!,"[(0, 59, 'clause')]",
Я просто хочу избавиться от боли и умереть.,"[(0, 42, 'clause')]",
"Общаюсь с психологом и психиатром, но боюсь им говорить об этом из-за того, что положат в психушку","[(0, 33, 'clause'), (35, 74, 'clause'), (76, 98, 'clause')]",
"ну то есть там специально сломал ченить в комнате поцыки сразу вставали и говорили раздевайся а я делал вид как будто не хочу и все такое) ( кстати напоминаю что я был вич инфицированным с рождения и все кто меня трахал в тюряге тоже сейчас доживают свою жизнь с вичем) потом когда уже выпустили из колонии жизнь показалась таким говном сраным я не знал что делать мать давно умерла от чего то хз от чего мне на неё ваще пох было вот пох чисто пох и я решил разводить диких змей дома половина конечно дохла от того что условия содержания не те ещё половина между собой дралась и тоже дохла но те кто доживал хотя бы до трех месяцев я сразу же отпускал на улицу а дальнейшая судьба их мне не известна думаю они покусали не мало людей они же дикие и ядовитые ещё и климат не тот и все такое они вообще убийцами были как только эту тему просекли меня забрали в ментоВку, поняли что я невменяемый ( хотя на самом деле это не так лол мусора дебилы) отправили в психушку там качали таблетками познакомился с парнем там он повесился короче потом как оказалось позже ну я это потом узнал) примерно месяца 3 меня подержали в дурке изменили немного мое мировозрение и я перестал заниматься всем таким и стал просто жить устроился на работу в пятерочку охранником но серые будни пожирали мою душу простого экзоцентричного парня и все чаще и чаще стал задумываться о суциде ( ща уже думаю на днях умереть) примерно пару недель назад заболел туберкулезом как я уже писал раньше сейчас я сижу на очень жестких препаратах повышающих тестостерон колю себе различные кубы тестостерона стал очень здоровым при этом не качаюсь при этом употребляю метан и все такое гормональный фонд разрушен печень откажет в течении пару дней так что возможно это мое последнее сообщение.","[(0, 137, 'clause'), (148, 268, 'clause'), (270, 866, 'clause'), (868, 892, 'clause'), (900, 942, 'clause'), (944, 1079, 'clause'), (1081, 1361, 'clause'), (1364, 1392, 'clause'), (1394, 1752, 'clause')]",
"Вечера - с пивом у телевизора, и я сама себя ненавижу за эту свою деградацию, но остановиться уже не могу.","[(0, 29, 'clause'), (31, 76, 'clause'), (78, 105, 'clause')]",
"Меня никогда не покидают мысли о суициде, я перестал в себя верить, учеба пошла вниз, друзей почти не осталось.","[(0, 40, 'clause'), (42, 66, 'clause'), (68, 84, 'clause'), (86, 110, 'clause')]",
"Всё-таки я считаю, что здесь только совместная помощь членов семьи, психотерапевта и православного священника смогут наставить на путь истинный.","[(0, 17, 'clause'), (19, 143, 'clause')]",
"хотела повесится-дочку жалко, родни у нас нет, сама всю жизнь одна я прожиа, все тащила на себе, как я ее оставлю.","[(0, 16, 'clause'), (17, 28, 'clause'), (30, 45, 'clause'), (47, 75, 'clause'), (77, 95, 'clause'), (97, 113, 'clause')]",
"Хочу развода, но не знаю как дальше строить свою жизнь, я кандидат экономических наук и никогда не работала, всю жизнь учусь, по настоянию папы.","[(0, 12, 'clause'), (14, 54, 'clause'), (56, 107, 'clause'), (109, 124, 'clause'), (126, 143, 'clause')]",
"Да и невестка была безумно влюблена, я боялся за нее и решил все таки пожениться.","[(0, 35, 'clause'), (37, 80, 'clause')]",
"За это время я уже пыталась покончить жизнь самоубийством, так как мне сказали, что я просто обуза, но меня к сожалению спасли.","[(0, 57, 'clause'), (59, 78, 'clause'), (80, 98, 'clause'), (100, 126, 'clause')]",
"Вот поэтому я не хочу жить в этом семье, у меня нет другой вариант, кроме как, самоубийства.","[(0, 39, 'clause'), (41, 91, 'clause')]",
"Меня полиция домой загнала, а потом она меня била шваброй так, что порвала мне серебрянную цепочку с крестиком и серьги с ушей.","[(0, 26, 'clause'), (28, 61, 'clause'), (63, 126, 'clause')]",
"Чем дальше, тем больше наполняет чувство какого то тупого равнодушия, мне уже становится наплевать на себя, на то что будет со мной, и перспектив каких либо на будущее я не вижу.","[(0, 10, 'clause'), (12, 68, 'clause'), (70, 113, 'clause'), (114, 131, 'clause'), (133, 177, 'clause')]",
"Очень больно от того, что равнодушие родственников и их безучастность стали главной причиной суицида.","[(0, 20, 'clause'), (22, 100, 'clause')]",
"Когда я только начала ходить, меня переполняло всю радостью, потому что я всегда мечтала стать актрисой, и поступить в театральную студию.","[(0, 28, 'clause'), (30, 59, 'clause'), (61, 137, 'clause')]",
"Очень боялся подойти, потому что общения у меня практически не было.","[(0, 20, 'clause'), (22, 67, 'clause')]",
"я не должна была вообще появляться на этот свет, никому никогда не нужна была.","[(0, 47, 'clause'), (49, 77, 'clause')]",
"меня естественно не замечают дома, особенно мама, личной жизни нет.","[(0, 33, 'clause'), (35, 48, 'clause'), (50, 66, 'clause')]",
"Я близка к тому, чтобы убить себя, близка так, как никогда не была близка, но я не хочу умирать, не хочу исчезнуть просто так, не хочу потерять шанс стать кем-то, помочь кому-то, стать для кого-то хорошим другом или просто человеком, на которого можно положиться.","[(0, 15, 'clause'), (17, 33, 'clause'), (35, 45, 'clause'), (47, 73, 'clause'), (75, 95, 'clause'), (97, 125, 'clause'), (127, 161, 'clause'), (163, 177, 'clause'), (179, 232, 'clause'), (234, 262, 'clause')]",
"Меня зовут Наташа и у меня вот какая проблема: люблю очень парня, встречались мы почти 7 лет, ждала его с армии.","[(0, 17, 'clause'), (18, 45, 'clause'), (47, 64, 'clause'), (66, 92, 'clause'), (94, 111, 'clause')]",
"Мне периодически снятся кошмары, будто мама умерла, я часто плачу, или просто лежу все дни напролет, мне все время грустно и страшно, страшно за будущее, и я не знаю, почему, я вообще не знаю, почему на меня навалилось столько всего.","[(0, 31, 'clause'), (33, 50, 'clause'), (52, 65, 'clause'), (67, 99, 'clause'), (101, 132, 'clause'), (134, 152, 'clause'), (154, 165, 'clause'), (167, 173, 'clause'), (175, 191, 'clause'), (193, 232, 'clause')]",
"хотя я считаю что это стыдно, что в меня тыкнут пальцем и скажут "" слабачка, не справилась с проблемами"" еще боюсь побочек, боюсь потерять либидо ( хотя я и счас не секс гигант) = боюсь потерять парня из-за этого и вообще из-за своего поведения/состояния.","[(0, 28, 'clause'), (30, 103, 'clause'), (105, 122, 'clause'), (124, 177, 'clause'), (178, 254, 'clause')]",
"Родители правы, я давно не ребенок и могу-должна жить отдельно, зарабатывать и иметь свою жизнь, но я запуталась, наломала дров и не знаю с чего начать, чтобы изменить себя к лучшему.","[(0, 14, 'clause'), (16, 95, 'clause'), (97, 151, 'clause'), (153, 182, 'clause')]",
"поступил я в Вуз, очень хороший и учёба у меня сразу не задалась.","[(0, 31, 'clause'), (32, 64, 'clause')]",
Я не могу так жить больше.,"[(0, 25, 'clause')]",
"а с меня кроме квартиры и машины брать не чего, не должны родители расплачиваться за ошибки своих взрослых детей, да и как мне жить дальше я не знаю - тихо выть в пустой квартире?","[(0, 46, 'clause'), (48, 112, 'clause'), (114, 138, 'clause'), (139, 148, 'clause'), (151, 178, 'clause')]",
"( Родных я люблю, но они меня не могут понять) Хочется смертельно заболеть и умереть, на самоубийство я решиться не могу.","[(2, 16, 'clause'), (18, 45, 'clause'), (47, 84, 'clause'), (86, 120, 'clause')]",
"Я только начала жить полной жизнью, учусь очень хорошо, без троек.","[(0, 65, 'clause')]",
когда я уже не могу ничего сделать,"[(0, 34, 'clause')]",
"У меня нет никого кто бы меня обнял, я очень устала и хочу просто умереть","[(0, 35, 'clause'), (37, 51, 'clause'), (52, 73, 'clause')]",
"Да и мне кажется, что я просто плаксивая эгоистка.","[(0, 16, 'clause'), (18, 49, 'clause')]",
Эту беременность я не забуду никогда голод безденежье и их( его семьи) постоянная пьянка.,"[(0, 88, 'clause')]",
"Я прокручиваю свою страничку, слушаю любимую музыку, играю в игры, встречаюсь с молодым человеком - но меня ничто не радует.","[(0, 97, 'clause'), (100, 123, 'clause')]",
"Ничем не стал заниматься, пропали увлечения, постоянно из-за мелочей меня бросает в злость, начались проблемы в семье и учебе, да и с друзьями не хочу видеться и гулять.","[(0, 24, 'clause'), (26, 43, 'clause'), (45, 90, 'clause'), (92, 125, 'clause'), (127, 168, 'clause')]",
